listing_id,listing_url,picture_url,name,description,host_id,host_name,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,reviews_per_month,availability_365,has_availability,last_review,geographical_group
29059.0,https://www.airbnb.com/rooms/29059,https://a0.muscache.com/pictures/736399/fa6c3103_original.jpg,Lovely studio Quartier Latin,"CITQ 267153<br />Lovely studio with 1 closed room, near everything in the Quartier Latin. Enjoy the festivals, downtown with activities or the famous Mont-Royal.<br />Everything included: bedding, bath towels, basic food items (condiments, flour, rice, pasta, spices, etc.), housekeeping, cable, WIFI",125031.0,Maryline,2010-05-14,100.0,98.0,False,2.0,True,Ville-Marie,45.51939,-73.56482,Entire rental unit,Entire home/apt,4,1.0,1,3.0,"[""Books and reading material"", ""Paid parking lot off premises"", ""Carbon monoxide alarm"", ""Microwave"", ""Free street parking"", ""Hot water kettle"", ""Shampoo"", ""Radiant heating"", ""Booster seat high chair - available upon request"", ""Hair dryer"", ""Fast wifi \u2013 116 Mbps"", ""Essentials"", ""Self check-in"", ""Keypad"", ""Induction stove"", ""Shared backyard \u2013 Fully fenced"", ""Room-darkening shades"", ""Iron"", ""Outdoor furniture"", ""Portable fans"", ""First aid kit"", ""Cooking basics"", ""Mini fridge"", ""Coffee"", ""Private entrance"", ""Dishes and silverware"", ""Bed linens"", ""Wine glasses"", ""TV with standard cable"", ""Body soap"", ""Pack \u2019n play/Travel crib - available upon request"", ""Hangers"", ""Courtyard view"", ""Hot water"", ""Sound system with aux"", ""Fire extinguisher"", ""Sun loungers"", ""Outdoor dining area"", ""Children\u2019s books and toys for ages 0-2 years old"", ""City skyline view"", ""Cleaning products"", ""Laundromat nearby"", ""Long term stays allowed"", ""Private patio or balcony"", ""Toaster"", ""Pets allowed"", ""Mosquito net"", ""Crib - available upon request"", ""Smoke alarm"", ""Single level home"", ""Extra pillows and blankets"", ""Shower gel"", ""Clothing storage: closet"", ""Kitchen"", ""Conditioner"", ""Oven"", ""Coffee maker""]",164.0,2.0,60.0,450.0,4.67,4.62,4.81,4.77,4.82,2.69,302.0,t,2024-03-16,Central
29061.0,https://www.airbnb.com/rooms/29061,https://a0.muscache.com/pictures/9e59d417-4b6a-4db1-94a6-ccac69e236bf.jpg,Maison historique - Quartier Latin,"Lovely historic house with plenty of period charm, close to everything, in Montreal’s delightful Latin Quarter. Walk to all the festivals.",125031.0,Maryline,2010-05-14,100.0,98.0,False,2.0,True,Ville-Marie,45.51929,-73.56493,Entire home,Entire home/apt,4,1.0,2,2.0,"[""Books and reading material"", ""Coffee maker: Nespresso"", ""Carbon monoxide alarm"", ""Microwave"", ""Rice maker"", ""Free street parking"", ""Hot water kettle"", ""Shampoo"", ""Radiant heating"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Essentials"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Self check-in"", ""Room-darkening shades"", ""Iron"", ""Outdoor furniture"", ""Central air conditioning"", ""Portable fans"", ""First aid kit"", ""Sound system"", ""Freezer"", ""Cooking basics"", ""Fast wifi \u2013 105 Mbps"", ""Blender"", ""Dining table"", ""Coffee"", ""Private entrance"", ""Free parking on premises"", ""Dishes and silverware"", ""Bed linens"", ""Clothing storage: closet"", ""Wine glasses"", ""Body soap"", ""Lockbox"", ""Pack \u2019n play/Travel crib - available upon request"", ""Hangers"", ""Hot water"", ""Baking sheet"", ""Board games"", ""Fire extinguisher"", ""Dedicated workspace"", ""Outdoor dining area"", ""Dishwasher"", ""Barbecue utensils"", ""Cleaning products"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Private patio or balcony"", ""Toaster"", ""Garden view"", ""Mosquito net"", ""Portable air conditioning"", ""Refrigerator"", ""Crib - available upon request"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Extra pillows and blankets"", ""AEG induction stove"", ""Shower gel"", ""TV with Apple TV, Netflix, premium cable, standard cable"", ""Kitchen"", ""Conditioner"", ""Private BBQ grill: gas"", ""Oven"", ""Pets allowed""]",290.0,2.0,21.0,130.0,4.73,4.66,4.88,4.81,4.87,0.88,348.0,t,2024-02-19,Central
36301.0,https://www.airbnb.com/rooms/36301,https://a0.muscache.com/pictures/26c20544-475f-4d69-9e99-53eeb6398ff0.jpg,Romantic & peaceful Plateau  loft,"Enjoy the best of Montreal  in this romantic, bright & peaceful nest in Trendy Plateau !",381468.0,Sylvie,2011-02-07,94.0,80.0,True,8.0,True,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire rental unit,Entire home/apt,2,1.0,1,2.0,"[""Microwave"", ""Free street parking"", ""Shampoo"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Air conditioning"", ""Iron"", ""First aid kit"", ""Cooking basics"", ""Dryer"", ""Oven"", ""Dishes and silverware"", ""Bed linens"", ""TV with standard cable"", ""Patio or balcony"", ""Hangers"", ""Washer"", ""Hot water"", ""Fire extinguisher"", ""Wifi"", ""Pets allowed"", ""Stove"", ""Refrigerator"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Kitchen"", ""Indoor fireplace"", ""Coffee maker""]",175.0,32.0,730.0,51.0,4.86,4.86,4.92,4.9,4.88,0.47,81.0,t,2024-01-07,Central
38118.0,https://www.airbnb.com/rooms/38118,https://a0.muscache.com/pictures/213997/763ec177_original.jpg,Beautiful room  with a balcony in front of a parc,Nearest metro Papineau.,163569.0,M.,2010-07-11,78.0,0.0,False,1.0,True,Ville-Marie,45.52699,-73.5584,Private room in rental unit,Private room,1,1.0,3,4.0,"[""Carbon monoxide alarm"", ""Free street parking"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Cooking basics"", ""Dryer"", ""Private entrance"", ""Dishes and silverware"", ""TV with standard cable"", ""Patio or balcony"", ""Washer"", ""Hot water"", ""Dishwasher"", ""Wifi"", ""Stove"", ""Refrigerator"", ""Smoke alarm"", ""Host greets you"", ""Kitchen"", ""Oven""]",50.0,31.0,60.0,16.0,4.5,4.25,4.81,4.81,4.63,0.1,299.0,t,2022-08-29,Central
50479.0,https://www.airbnb.com/rooms/50479,https://a0.muscache.com/pictures/miso/Hosting-50479/original/1ced706b-ed9e-436d-8415-fde9df441b79.jpeg,L'Arcade Douce,"The appartement is sunny and ideally situated in the handsome area of Petite-Patrie, 10 minutes walk from the market Jean-Talon and all services (grocery store, underground orange and blue line). The area has also a lot of restaurants, little cafes and bars and a cycle path and BIXI station round the corner. <br />Note that it  is on the 3rd floor so you have one flight of stairs outside and one inside.  Also, there is no private parking available but you generally can park easily  on our street.",231694.0,Noemie,2010-09-11,100.0,100.0,True,2.0,True,Rosemont-La Petite-Patrie,45.54157,-73.60737,Entire rental unit,Entire home/apt,3,1.0,2,2.0,"[""Books and reading material"", ""Electric stove"", ""Microwave"", ""Free street parking"", ""Shampoo"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""50\"" HDTV with Netflix"", ""Essentials"", ""Heating"", ""Self check-in"", ""Keypad"", ""Outdoor furniture"", ""Iron"", ""Central air conditioning"", ""Portable fans"", ""First aid kit"", ""Cooking basics"", ""Fast wifi \u2013 57 Mbps"", ""Drying rack for clothing"", ""Blender"", ""Bathtub"", ""Dining table"", ""Dishes and silverware"", ""Bed linens"", ""Clothing storage: closet and dresser"", ""Wine glasses"", ""Body soap"", ""Hangers"", ""Hot water"", ""Baking sheet"", ""Fire extinguisher"", ""Dedicated workspace"", ""Outdoor dining area"", ""Cleaning products"", ""Free dryer \u2013 In unit"", ""Laundromat nearby"", ""Private patio or balcony"", ""Long term stays allowed"", ""Toaster"", ""Garden view"", ""Refrigerator"", ""Smoke alarm"", ""Host greets you"", ""Shower gel"", ""Kitchen"", ""Oven"", ""Coffee maker""]",90.0,3.0,28.0,263.0,4.95,4.94,4.97,4.98,4.84,1.6,0.0,t,2024-03-18,South
66247.0,https://www.airbnb.com/rooms/66247,https://a0.muscache.com/pictures/miso/Hosting-66247/original/e903abb6-2e6f-41b8-9a15-4abeecbaba06.jpeg,Large Loft in Historic Old Montreal,"Located in the heart of Old Montreal, next to the Basilic Notre Dame, this luxurious suite has been entirely furnished with materials and furnitures of superior quality. You will be enchanted by the abundant luminosity offered by this warm and welcoming location. This unique building built in 1832 distinguishes itself with its superb brick walls. Bring your wine and cheese and come live unforgettable moments! <br />Parking is available 25$ per day at an outdoor  parking spot next to building.",318040.0,Seb,2010-12-13,98.0,99.0,True,4.0,True,Ville-Marie,45.50584,-73.55602,Entire loft,Entire home/apt,4,1.0,1,1.0,"[""Ethernet connection"", ""Carbon monoxide alarm"", ""Microwave"", ""Hair dryer"", ""Essentials"", ""Window guards"", ""Heating"", ""Self check-in"", ""Air conditioning"", ""Iron"", ""Paid parking off premises"", ""42\"" HDTV with Roku"", ""Cooking basics"", ""Dryer"", ""Bathtub"", ""Dishes and silverware"", ""Bed linens"", ""Elevator"", ""Lockbox"", ""Hangers"", ""Washer"", ""Hot water"", ""Pocket wifi"", ""Dedicated workspace"", ""Dishwasher"", ""Cleaning products"", ""Long term stays allowed"", ""Stove"", ""Wifi \u2013 30 Mbps"", ""Refrigerator"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Kitchen"", ""Oven"", ""Coffee maker""]",110.0,3.0,90.0,453.0,4.77,4.78,4.85,4.71,4.92,2.81,59.0,t,2024-03-03,Central
66276.0,https://www.airbnb.com/rooms/66276,https://a0.muscache.com/pictures/miso/Hosting-66276/original/f161ff17-8ca2-4528-a8a9-86ad9d34c055.png,Your Tranquil Oasis Near Downtown Montreal,"Escape the hustle and bustle of city life and retreat to our serene one-bedroom apartment in a peaceful neighborhood. Whether you're here for business, to explore the vibrant city of Montreal, or to visit nearby universities (Concordia, McGill) and the MUHC hospital (Glen site), our cozy space offers the perfect home away from home.<br /><br />The Space:<br />Our one-bedroom apartment provides a comfortable and inviting atmosphere for your stay.",324569.0,Anna,2010-12-21,100.0,100.0,True,2.0,True,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46133041381836,-73.62896728515625,Entire rental unit,Entire home/apt,2,1.0,1,1.0,"[""No name conditioner"", ""Smart lock"", ""Carbon monoxide alarm"", ""Microwave"", ""Free street parking"", ""Hot water kettle"", ""Shampoo"", ""Radiant heating"", ""Shared backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Essentials"", ""Self check-in"", ""Room-darkening shades"", ""Iron"", ""Indoor fireplace: electric"", ""First aid kit"", ""Paid parking garage on premises \u2013 2 spaces"", ""Cooking basics"", ""Private outdoor kitchen"", ""Bathtub"", ""Dining table"", ""Coffee"", ""Private entrance"", ""Free parking on premises"", ""Dishes and silverware"", ""Bed linens"", ""Wine glasses"", ""Patio or balcony"", ""Hangers"", ""Hot water"", ""Electrolux electric stove"", ""Fire extinguisher"", ""Sun loungers"", ""Dedicated workspace"", ""Outdoor dining area"", ""Coffee maker: french press"", ""Cleaning products"", ""Wifi"", ""EV charger"", ""Long term stays allowed"", ""Toaster"", ""32\"" HDTV with Netflix"", ""Pets allowed"", ""Garden view"", ""Luggage dropoff allowed"", ""No name body soap"", ""Free dryer \u2013 In building"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Shower gel"", ""Clothing storage: closet"", ""Kitchen"", ""No name refrigerator"", ""No name oven""]",48.0,32.0,180.0,41.0,4.72,4.79,4.95,4.95,4.56,0.26,252.0,t,2024-02-27,Central
70489.0,https://www.airbnb.com/rooms/70489,https://a0.muscache.com/pictures/88968828/842596e4_original.jpg,Ultra Luxurious - City Center,"Ultra Luxurious, 2 storey condo, in Prime, Prime, Prime, Location! 30 days min.",145990.0,Marc Andre,2010-06-16,0.0,0.0,False,1.0,True,Ville-Marie,45.5019,-73.56354,Entire condo,Entire home/apt,4,1.5,1,2.0,"[""Free dryer"", ""Microwave"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Iron"", ""Central air conditioning"", ""Indoor fireplace: electric"", ""Freezer"", ""Free washer"", ""Cooking basics"", ""Stainless steel oven"", ""Shared gym"", ""Bathtub"", ""Coffee"", ""Bosch stove"", ""Dishes and silverware"", ""Bed linens"", ""Clothing storage: closet and dresser"", ""Wine glasses"", ""Elevator"", ""Hangers"", ""Hot water"", ""Paid parking on premises"", ""42\"" HDTV with standard cable"", ""Fire extinguisher"", ""Dedicated workspace"", ""Dishwasher"", ""City skyline view"", ""Cleaning products"", ""Wifi"", ""Long term stays allowed"", ""Private patio or balcony"", ""Toaster"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Paid parking garage off premises"", ""Kitchen"", ""Coffee maker""]",90.0,31.0,365.0,1.0,4.0,4.0,4.0,4.0,4.0,0.01,249.0,t,2013-10-15,Central
70801.0,https://www.airbnb.com/rooms/70801,https://a0.muscache.com/pictures/miso/Hosting-70801/original/049d48b6-1e55-4894-97b2-7e65343bd8d3.jpeg,"Large, sunny house with garden near Old MTL","CITQ: 310728<br /><br />Designer home easily sleeps 6 (or 8 if with small children). Walk to Atwater Market, bike/run/blade on the Lachine Canal. 5-min taxi/bus to Old Montreal and downtown. Sunny, private garden for enjoying a peaceful breakfast or a fun BBQ dinner. Gourmet kitchen, fireplace.<br />Please note that all adults must be over 30 YEARS OLD to reserve.<br />Non-smokers only. Thank you!",294382.0,Jennifer&Steeve,2010-11-21,100.0,75.0,False,1.0,True,Le Sud-Ouest,45.47812,-73.55698,Entire home,Entire home/apt,6,2.5,3,3.0,"[""Books and reading material"", ""Children\u2019s books and toys"", ""Cleaning available during stay"", ""Microwave"", ""Free street parking"", ""Hot water kettle"", ""Shampoo"", ""Amazon Echo Dot Bluetooth sound system"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Essentials"", ""Heating"", ""Self check-in"", ""Room-darkening shades"", ""Iron"", ""Outdoor furniture"", ""Children's playroom"", ""Portable fans"", ""First aid kit"", ""Coffee maker: drip coffee maker, espresso machine, french press"", ""Freezer"", ""Cooking basics"", ""Blender"", ""Drying rack for clothing"", ""Bathtub"", ""Dining table"", ""Coffee"", ""Private entrance"", ""Free parking on premises"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Bed linens"", ""Clothing storage: closet and dresser"", ""Wine glasses"", ""Private backyard \u2013 Fully fenced"", ""Body soap"", ""Lockbox"", ""Children\u2019s dinnerware"", ""Hangers"", ""Hot water"", ""Baking sheet"", ""Board games"", ""Fire extinguisher"", ""Dedicated workspace"", ""Outdoor dining area"", ""Dishwasher"", ""Barbecue utensils"", ""Cleaning products"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Private patio or balcony"", ""EV charger"", ""Toaster"", ""Long term stays allowed"", ""Garden view"", ""Stove"", ""Exercise equipment: free weights, stationary bike, yoga mat"", ""Ceiling fan"", ""Luggage dropoff allowed"", ""Refrigerator"", ""43\"" HDTV with Amazon Prime Video, Apple TV"", ""Smoke alarm"", ""Indoor fireplace: wood-burning"", ""Extra pillows and blankets"", ""Host greets you"", ""Shower gel"", ""AC - split type ductless system"", ""Kitchen"", ""Conditioner"", ""Private BBQ grill: gas"", ""Oven""]",290.0,3.0,32.0,35.0,4.88,4.71,4.91,4.97,4.44,0.22,252.0,t,2023-10-09,Central
85267.0,https://www.airbnb.com/rooms/85267,https://a0.muscache.com/pictures/f16f992b-4cd4-43ce-9b44-b3f2a9cffda0.jpg,Country feeling loft in Plateau,,381468.0,Sylvie,2011-02-07,94.0,80.0,True,8.0,True,Le Plateau-Mont-Royal,45.52946,-73.58206,Entire rental unit,Entire home/apt,3,1.0,1,2.0,"[""Microwave"", ""Free street parking"", ""Shampoo"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Air conditioning"", ""Iron"", ""Cooking basics"", ""Dryer"", ""Private entrance"", ""Free parking on premises"", ""Dishes and silverware"", ""Bed linens"", ""Patio or balcony"", ""Hangers"", ""Washer"", ""Hot water"", ""Wifi"", ""Pets allowed"", ""Stove"", ""Refrigerator"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Kitchen"", ""Oven"", ""Coffee maker""]",170.0,32.0,730.0,39.0,4.9,4.87,4.9,4.79,4.9,0.25,90.0,t,2023-12-23,Central
99859.0,https://www.airbnb.com/rooms/99859,https://a0.muscache.com/pictures/6163981/22fc24f8_original.jpg,Plateau Charm,,525486.0,Sesaye,2011-04-21,100.0,89.2037483266399,False,1.0,True,Le Plateau-Mont-Royal,45.51856,-73.57756,Entire rental unit,Entire home/apt,4,1.0,2,2.0,"[""Wifi"", ""Dishes and silverware"", ""Private entrance"", ""TV with standard cable"", ""Kitchen"", ""Patio or balcony"", ""Hair dryer"", ""Hangers"", ""Washer"", ""Smoke alarm"", ""Essentials"", ""Heating"", ""Refrigerator"", ""Dedicated workspace"", ""Dryer"", ""Air conditioning""]",232.0,31.0,364.0,44.0,4.81,4.67,4.81,4.76,4.95,0.28,365.0,t,2023-08-07,Central
135275.0,https://www.airbnb.com/rooms/135275,https://a0.muscache.com/pictures/miso/Hosting-135275/original/cfc6ae0c-d2de-40bb-8b5a-f37dc7b69b9f.jpeg,"Charming aparthotel, little Italie","This charming and impeccable one bedroom apartment  is ideally located in Little Italy, walking steps to wonderful Jean-Talon market, restaurants, coffee shops and 2 metros stations.",520966.0,Myriam,2011-04-19,100.0,43.0,False,3.0,True,Villeray-Saint-Michel-Parc-Extension,45.53971,-73.61943,Entire rental unit,Entire home/apt,2,2.0,1,1.0,"[""Microwave"", ""Free street parking"", ""Shampoo"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Self check-in"", ""Air conditioning"", ""Iron"", ""Cooking basics"", ""Dryer"", ""Dishes and silverware"", ""TV with standard cable"", ""Patio or balcony"", ""Lockbox"", ""Hangers"", ""Washer"", ""Hot water"", ""Dishwasher"", ""Wifi"", ""Long term stays allowed"", ""Stove"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Oven"", ""Coffee maker""]",170.0,31.0,730.0,75.0,4.8,4.89,4.95,4.95,4.91,0.48,223.0,t,2024-01-09,North
137443.0,https://www.airbnb.com/rooms/137443,https://a0.muscache.com/pictures/miso/Hosting-137443/original/16af473b-adb5-4a87-b899-0d2830cf82f5.jpeg,"Apt + garden (Mile End, Plateau) / # CiTQ 310398","Sunny, spacious and cozy apartment with a garden in the heart of Montreal. It’s located in the Mile End area, part of the Plateau Mont-Royal. Mile End is one of the nicest, welcoming and lively neighborhood in Montreal, close to downtown.",656725.0,Christophe,2011-06-02,100.0,80.0,True,1.0,True,Le Plateau-Mont-Royal,45.52663,-73.60145,Entire rental unit,Entire home/apt,5,1.0,2,2.0,"[""Microwave"", ""Hot water kettle"", ""Essentials"", ""Heating"", ""Self check-in"", ""Outdoor furniture"", ""Air conditioning"", ""Iron"", ""Cooking basics"", ""Dishes and silverware"", ""Bed linens"", ""Private backyard \u2013 Fully fenced"", ""BBQ grill"", ""Lockbox"", ""Hangers"", ""Washer"", ""Courtyard view"", ""Hot water"", ""Dedicated workspace"", ""Outdoor dining area"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Private patio or balcony"", ""Garden view"", ""Stove"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Oven"", ""Coffee maker""]",280.0,2.0,67.0,67.0,4.8,4.54,4.98,5.0,4.83,0.46,90.0,t,2023-10-15,Central
160600.0,https://www.airbnb.com/rooms/160600,https://a0.muscache.com/pictures/miso/Hosting-160600/original/32be815f-5520-42fa-8f8c-044c5cb308bc.jpeg,Sunlit Spacious 2BR+Office near to Universities,"Escape to this sun-drenched, two-bedroom apartment, complete with a dedicated office, dining room, and living room, all nestled in a peaceful neighborhood. Whether you're here for business, to explore the vibrant city of Montreal, or to visit nearby universities, our generously sized apartment offers the perfect blend of comfort and convenience.<br />This 1000 sq. ft. second-floor duplex apartment is a true gem, <br />exuding an inviting and open atmosphere that's flooded with natural light.",324569.0,Anna,2010-12-21,100.0,100.0,True,2.0,True,Côte-des-Neiges-Notre-Dame-de-Grâce,45.461334228515625,-73.62901306152344,Entire rental unit,Entire home/apt,4,1.0,2,3.0,"[""40\"" HDTV with Netflix"", ""Microwave"", ""Free street parking"", ""Hot water kettle"", ""Shampoo"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Essentials"", ""Self check-in"", ""Keypad"", ""Room-darkening shades"", ""Iron"", ""Outdoor furniture"", ""Portable fans"", ""First aid kit"", ""Cooking basics"", ""Bathtub"", ""Dining table"", ""Coffee"", ""Private entrance"", ""Free parking on premises"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Bed linens"", ""Wine glasses"", ""AC - split type ductless system"", ""Bluetooth sound system"", ""Hangers"", ""Hot water"", ""Heating - split type ductless system"", ""Paid parking on premises"", ""Board games"", ""Fire extinguisher"", ""Dedicated workspace"", ""Outdoor dining area"", ""Dishwasher"", ""Coffee maker: french press"", ""Cleaning products"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Private patio or balcony"", ""EV charger"", ""LG electric stove"", ""Toaster"", ""Long term stays allowed"", ""Garden view"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Costco body soap"", ""Extra pillows and blankets"", ""Shower gel"", ""Clothing storage: closet"", ""Kitchen"", ""Conditioner"", ""Oven""]",98.0,32.0,180.0,27.0,4.85,4.63,4.96,4.96,4.84,0.18,284.0,t,2023-12-03,Central
160639.0,https://www.airbnb.com/rooms/160639,https://a0.muscache.com/pictures/1016738/053102ac_original.jpg,Cosy Studio apartment,"The studio is only used for airbnb. So it is always clean. Kitchen is brand new with coffee maker, fridge, toaster. Washing machine in the studio for your convenience.Fully equipped with bed sheets, towels. High speed internet.HD TV.Terrace accessible in spring/summer. Table and chairs to enjoy the terrace.<br />One double bed + 1 sofa bed.<br />Close to the metro station and buses come every 2-5 mins.",38398.0,Omar,2009-09-14,96.92234744365035,89.2037483266399,False,1.0,True,Rosemont-La Petite-Patrie,45.54512,-73.59808,Entire rental unit,Entire home/apt,2,1.0,1,1.0,"[""Fast wifi \u2013 469 Mbps"", ""Carbon monoxide alarm"", ""Microwave"", ""Free street parking"", ""Cleaning available during stay"", ""Hot water kettle"", ""Shampoo"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Room-darkening shades"", ""Air conditioning"", ""Iron"", ""Freezer"", ""Cooking basics"", ""Drying rack for clothing"", ""Dryer"", ""Dining table"", ""Coffee"", ""Private entrance"", ""Dishes and silverware"", ""Bed linens"", ""Wine glasses"", ""TV with standard cable"", ""Hangers"", ""Washer"", ""Hot water"", ""Clothing storage: closet, wardrobe, and dresser"", ""Fire extinguisher"", ""Outdoor dining area"", ""Long term stays allowed"", ""Toaster"", ""Stove"", ""Mosquito net"", ""Refrigerator"", ""Shared patio or balcony"", ""Smoke alarm"", ""Single level home"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Kitchen"", ""Oven"", ""Coffee maker""]",90.0,186.0,365.0,15.0,4.73,4.67,4.87,4.87,4.33,0.1,358.0,t,2019-11-30,South
164087.0,https://www.airbnb.com/rooms/164087,https://a0.muscache.com/pictures/be23a7b2-c51f-4066-92fe-f4f9766c31ee.jpg,Functional studio (Secret Studio) -plateau,"Numéro CITQ: 291093<br /><br />For a stay in the heart of an exceptional location, my studio is the ideal place to visit Montreal. Located in the Plateau-Mont Royal district, you will find all the necessary comfort for 2 people, (1 Queen Size bed). Hair dryer and air conditioning are also included. Sheets and towels will be provided.  For more information, please read the description below :).",604849.0,Martin,2011-05-19,100.0,100.0,True,16.0,True,Le Plateau-Mont-Royal,45.528545,-73.579308,Entire rental unit,Entire home/apt,2,1.0,0,1.0,"[""Microwave"", ""Shampoo"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Self check-in"", ""Keypad"", ""Air conditioning"", ""Iron"", ""Delon conditioner"", ""Paid parking off premises"", ""Cooking basics"", ""TV"", ""Dishes and silverware"", ""Bed linens"", ""BBQ grill"", ""Hangers"", ""Hot water"", ""Fire extinguisher"", ""Wifi"", ""Long term stays allowed"", ""Delon body soap"", ""Refrigerator"", ""Smoke alarm"", ""Single level home"", ""Shower gel"", ""Kitchen"", ""Oven"", ""Coffee maker""]",104.0,2.0,730.0,723.0,4.84,4.86,4.9,4.92,4.92,4.71,27.0,t,2024-03-07,Central
165108.0,https://www.airbnb.com/rooms/165108,https://a0.muscache.com/pictures/miso/Hosting-165108/original/cb9da740-702d-48dd-b66d-d9c5cf142e8c.png,The Cocooning in the heart of Rosemont,"Charming, chic, and cozy apartment, fully equipped and located in a safe residential area with all services within walking distance and very nice small shops. Ideal for enjoying Montreal life and having a pleasant stay surrounded by a multitude of activities for everyone.",787391.0,Karine,2011-07-06,100.0,100.0,False,3.0,True,Rosemont-La Petite-Patrie,45.54673,-73.57181,Entire rental unit,Entire home/apt,3,1.0,2,2.0,"[""Coffee maker: pour-over coffee"", ""Carbon monoxide alarm"", ""Microwave"", ""Crib"", ""Free street parking"", ""Hot water kettle"", ""Shampoo"", ""Radiant heating"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Window AC unit"", ""Essentials"", ""Self check-in"", ""Keypad"", ""Room-darkening shades"", ""Iron"", ""High chair"", ""Outdoor furniture"", ""Portable fans"", ""Freezer"", ""40\"" HDTV with standard cable"", ""Cooking basics"", ""Bathtub"", ""Dining table"", ""Coffee"", ""Private entrance"", ""Free parking on premises"", ""Dishes and silverware"", ""Bed linens"", ""Clothing storage: closet and dresser"", ""Wine glasses"", ""Samsung stainless steel electric stove"", ""Body soap"", ""Hangers"", ""Hot water"", ""Fire extinguisher"", ""Dedicated workspace"", ""Cleaning products"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Private patio or balcony"", ""Long term stays allowed"", ""Toaster"", ""Mosquito net"", ""Ceiling fan"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Shower gel"", ""Barbecue utensils"", ""Kitchen"", ""Oven""]",95.0,31.0,1125.0,32.0,4.69,4.72,4.81,4.81,4.69,0.21,2.0,t,2022-01-02,South
168331.0,https://www.airbnb.com/rooms/168331,https://a0.muscache.com/pictures/miso/Hosting-168331/original/cc326364-2f4a-4de8-a660-3c9ebb5a7988.jpeg,Modern vintage 2 BDR in heart plateau,"For a stay in the heart of an exceptional location, my apartment is the ideal place to visit Montreal. Located in the Plateau-Mont Royal district, you will find all the necessary comfort for 4 people, (1 king-size bed, 1 queen size bed). Washing machine and air conditioning are also included. Sheets and towels will be provided. For more information, please read the description below :).",604849.0,Martin,2011-05-19,100.0,100.0,True,16.0,True,Le Plateau-Mont-Royal,45.528431,-73.578979,Entire rental unit,Entire home/apt,4,1.0,2,2.0,"[""Ethernet connection"", ""Microwave"", ""Shampoo"", ""Hair dryer"", ""Essentials"", ""Heating"", ""Self check-in"", ""Keypad"", ""Air conditioning"", ""Iron"", ""Piano"", ""First aid kit"", ""Cooking basics"", ""Dryer"", ""Bathtub"", ""Safe"", ""TV"", ""Dishes and silverware"", ""Bed linens"", ""Bluetooth sound system"", ""Body soap"", ""BBQ grill"", ""Hangers"", ""Washer"", ""Hot water"", ""Fire extinguisher"", ""Dedicated workspace"", ""Dishwasher"", ""Wifi"", ""Long term stays allowed"", ""Ceiling fan"", ""Refrigerator"", ""Smoke alarm"", ""Single level home"", ""Shower gel"", ""Kitchen"", ""Conditioner"", ""Oven"", ""Coffee maker""]",204.0,2.0,35.0,631.0,4.91,4.83,4.94,4.95,4.94,4.14,24.0,t,2024-03-01,Central
